# (dyne/cm2) (K)     (cm2/s)
Pressure	Temp	Kzz
1.013e+06	328.8	6.800e+04
7.889e+05	256.2	6.800e+04
6.144e+05	229.5	6.800e+04
4.785e+05	219.7	6.800e+04
3.727e+05	216.1	6.800e+04
2.902e+05	214.8	5.712e+04
2.260e+05	214.3	1.686e+04
1.760e+05	214.1	5.290e+03
1.371e+05	214.0	3.454e+03
1.068e+05	214.0	2.713e+03
8.315e+04	214.0	2.652e+03
6.476e+04	214.0	2.856e+03
5.043e+04	214.0	3.366e+03
3.928e+04	214.0	4.107e+03
3.059e+04	214.0	5.039e+03
2.382e+04	214.0	6.120e+03
1.855e+04	214.0	7.276e+03
1.445e+04	214.0	8.704e+03
1.125e+04	214.0	1.034e+04
8.764e+03	214.0	1.204e+04
6.826e+03	214.0	1.414e+04
5.316e+03	214.0	1.707e+04
4.140e+03	214.0	2.094e+04
3.224e+03	214.0	2.557e+04
2.511e+03	214.0	3.094e+04
1.956e+03	214.0	3.883e+04
1.523e+03	214.0	4.678e+04
1.186e+03	214.0	5.821e+04
9.237e+02	214.0	7.072e+04
7.194e+02	214.0	7.616e+04
5.603e+02	214.0	7.616e+04
4.363e+02	214.0	7.616e+04
3.398e+02	214.0	7.616e+04
2.647e+02	214.0	7.616e+04
2.061e+02	214.0	7.616e+04
1.605e+02	214.0	7.616e+04
1.250e+02	214.0	7.616e+04
9.740e+01	214.0	7.616e+04
7.580e+01	214.0	7.616e+04
5.910e+01	214.0	7.616e+04
4.600e+01	214.0	7.616e+04
3.580e+01	214.0	7.616e+04
2.790e+01	214.0	7.616e+04
2.170e+01	214.0	7.616e+04
1.690e+01	214.0	7.616e+04
1.320e+01	214.0	7.616e+04
1.030e+01	214.0	7.616e+04
7.990e+00	214.0	7.616e+04
6.220e+00	214.0	7.616e+04
4.850e+00	214.0	7.616e+04
3.780e+00	214.0	7.616e+04
2.940e+00	214.0	7.616e+04
2.290e+00	214.0	7.616e+04
1.780e+00	214.0	7.616e+04
1.390e+00	214.0	7.616e+04
1.080e+00	214.0	7.616e+04
8.420e-01	214.0	7.616e+04
6.560e-01	214.0	7.616e+04
5.110e-01	214.0	7.616e+04
3.980e-01	214.0	7.616e+04
3.100e-01	214.0	7.616e+04
2.410e-01	214.0	7.616e+04
1.880e-01	214.0	7.616e+04
1.460e-01	214.0	7.616e+04
1.140e-01	214.0	7.616e+04
8.880e-02	214.0	7.616e+04
6.910e-02	214.0	7.616e+04
5.380e-02	214.0	7.616e+04
4.190e-02	214.0	7.616e+04
3.270e-02	214.0	7.616e+04
2.540e-02	214.0	7.616e+04
