# (dyne/cm2) (K)     (cm2/s)
Pressure	Temp	Kzz
1.000e+06	351.0	1.120e+05
7.865e+05	327.5	1.000e+05
6.186e+05	306.3	1.000e+05
4.865e+05	287.3	1.000e+05
3.826e+05	270.5	1.000e+05
3.010e+05	255.9	8.400e+04
2.367e+05	243.5	2.480e+04
1.862e+05	233.4	7.780e+03
1.464e+05	225.5	5.080e+03
1.152e+05	219.8	3.990e+03
9.057e+04	216.3	3.900e+03
7.124e+04	215.0	4.200e+03
5.603e+04	214.9	4.950e+03
4.407e+04	214.9	6.040e+03
3.466e+04	214.8	7.410e+03
2.726e+04	214.7	9.000e+03
2.144e+04	214.7	1.070e+04
1.686e+04	214.6	1.280e+04
1.326e+04	214.6	1.520e+04
1.043e+04	214.5	1.770e+04
8.204e+03	214.4	2.080e+04
6.452e+03	214.4	2.510e+04
5.075e+03	214.3	3.080e+04
3.991e+03	214.3	3.760e+04
3.139e+03	214.2	4.550e+04
2.469e+03	214.2	5.710e+04
1.942e+03	214.1	6.880e+04
1.527e+03	214.1	8.560e+04
1.201e+03	214.0	1.040e+05
9.447e+02	214.0	1.120e+05
7.430e+02	213.9	1.120e+05
5.844e+02	213.9	1.120e+05
4.596e+02	213.8	1.120e+05
3.615e+02	213.8	1.120e+05
2.843e+02	213.7	1.120e+05
2.236e+02	213.7	1.120e+05
1.759e+02	213.7	1.120e+05
1.383e+02	213.6	1.120e+05
1.088e+02	213.6	1.120e+05
8.557e+01	213.6	1.120e+05
6.730e+01	213.5	1.120e+05
5.293e+01	213.5	1.120e+05
4.163e+01	213.5	1.120e+05
3.274e+01	213.4	1.120e+05
2.575e+01	213.4	1.120e+05
2.025e+01	213.4	1.120e+05
1.593e+01	213.3	1.120e+05
1.253e+01	213.3	1.120e+05
9.854e+00	213.3	1.120e+05
7.750e+00	213.3	1.120e+05
6.095e+00	213.2	1.120e+05
4.794e+00	213.2	1.120e+05
3.771e+00	213.2	1.120e+05
2.966e+00	213.2	1.120e+05
2.332e+00	213.1	1.120e+05
1.834e+00	213.1	1.120e+05
1.443e+00	213.1	1.120e+05
1.135e+00	213.1	1.120e+05
8.925e-01	213.1	1.120e+05
7.019e-01	213.1	1.120e+05
5.521e-01	213.1	1.120e+05
4.342e-01	213.0	1.120e+05
3.415e-01	213.0	1.120e+05
2.686e-01	213.0	1.120e+05
2.113e-01	213.0	1.120e+05
1.661e-01	213.0	1.120e+05
1.307e-01	213.0	1.120e+05
1.028e-01	213.0	1.120e+05
8.084e-02	213.0	1.120e+05
6.358e-02	213.0	1.120e+05
5.000e-02	213.0	1.120e+05
