# (dyne/cm2) (K)     (cm2/s)
Pressure	Temp	Kzz
1.000e+00	293.4	1.120e+05
7.865e-01	290.5	1.000e+05
6.186e-01	286.7	1.000e+05
4.865e-01	282.1	1.000e+05
3.826e-01	276.8	1.000e+05
3.010e-01	271.2	8.400e+04
2.367e-01	265.5	2.480e+04
1.862e-01	259.9	7.780e+03
1.464e-01	254.7	5.080e+03
1.152e-01	249.9	3.990e+03
9.057e-02	245.6	3.900e+03
7.124e-02	241.9	4.200e+03
5.603e-02	238.7	4.950e+03
4.407e-02	235.9	6.040e+03
3.466e-02	233.6	7.410e+03
2.726e-02	231.8	9.000e+03
2.144e-02	230.2	1.070e+04
1.686e-02	229.0	1.280e+04
1.326e-02	228.0	1.520e+04
1.043e-02	227.1	1.770e+04
8.204e-03	226.5	2.080e+04
6.452e-03	226.0	2.510e+04
5.075e-03	225.6	3.080e+04
3.991e-03	225.2	3.760e+04
3.139e-03	225.0	4.550e+04
2.469e-03	224.8	5.710e+04
1.942e-03	224.6	6.880e+04
1.527e-03	224.5	8.560e+04
1.201e-03	224.4	1.040e+05
9.447e-04	224.3	1.120e+05
7.430e-04	224.3	1.120e+05
5.844e-04	224.2	1.120e+05
4.596e-04	224.2	1.120e+05
3.615e-04	224.1	1.120e+05
2.843e-04	224.1	1.120e+05
2.236e-04	224.1	1.120e+05
1.759e-04	224.1	1.120e+05
1.383e-04	224.1	1.120e+05
1.088e-04	224.1	1.120e+05
8.557e-05	224.1	1.120e+05
6.730e-05	224.0	1.120e+05
5.293e-05	224.0	1.120e+05
4.163e-05	224.0	1.120e+05
3.274e-05	224.0	1.120e+05
2.575e-05	224.0	1.120e+05
2.025e-05	224.0	1.120e+05
1.593e-05	224.0	1.120e+05
1.253e-05	224.0	1.120e+05
9.854e-06	224.0	1.120e+05
7.750e-06	224.0	1.120e+05
6.095e-06	224.0	1.120e+05
4.794e-06	224.0	1.120e+05
3.771e-06	224.0	1.120e+05
2.966e-06	224.0	1.120e+05
2.332e-06	224.0	1.120e+05
1.834e-06	224.0	1.120e+05
1.443e-06	224.0	1.120e+05
1.135e-06	224.0	1.120e+05
8.925e-07	224.0	1.120e+05
7.019e-07	224.0	1.120e+05
5.521e-07	224.0	1.120e+05
4.342e-07	224.0	1.120e+05
3.415e-07	224.0	1.120e+05
2.686e-07	224.0	1.120e+05
2.113e-07	224.0	1.120e+05
1.661e-07	224.0	1.120e+05
1.307e-07	224.0	1.120e+05
1.028e-07	224.0	1.120e+05
8.084e-08	224.0	1.120e+05
6.358e-08	224.0	1.120e+05
5.000e-08	224.0	1.120e+05
