# (dyne/cm2)
Pressure	H2	N2	CH4	H2O
1.500E+06	9.000E-01	1.000E-01	2.000E-06	1.000E-02
1.243E+06	9.000E-01	1.000E-01	2.000E-06	9.170E-03
1.029E+06	9.000E-01	1.000E-01	2.000E-06	8.341E-03
8.527E+05	9.000E-01	1.000E-01	2.000E-06	7.511E-03
7.064E+05	9.000E-01	1.000E-01	2.000E-06	6.681E-03
5.852E+05	9.000E-01	1.000E-01	2.000E-06	5.851E-03
4.848E+05	9.000E-01	1.000E-01	2.000E-06	5.022E-03
4.016E+05	9.000E-01	1.000E-01	2.000E-06	4.192E-03
3.327E+05	9.000E-01	1.000E-01	2.000E-06	3.362E-03
2.756E+05	9.000E-01	1.000E-01	2.000E-06	2.532E-03
2.283E+05	9.000E-01	9.999E-02	2.000E-06	1.703E-03
1.891E+05	9.000E-01	9.998E-02	2.000E-06	8.727E-04
1.567E+05	9.000E-01	9.995E-02	2.000E-06	4.282E-05
1.298E+05	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.075E+05	9.000E-01	1.000E-01	2.000E-06	0.000E+00
8.906E+04	9.000E-01	1.000E-01	2.000E-06	0.000E+00
7.378E+04	9.000E-01	1.000E-01	2.000E-06	0.000E+00
6.112E+04	9.000E-01	1.000E-01	2.000E-06	0.000E+00
5.063E+04	9.000E-01	1.000E-01	2.000E-06	0.000E+00
4.194E+04	9.000E-01	1.000E-01	2.000E-06	0.000E+00
3.474E+04	9.000E-01	1.000E-01	2.000E-06	0.000E+00
2.878E+04	9.000E-01	1.000E-01	2.000E-06	0.000E+00
2.384E+04	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.975E+04	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.636E+04	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.355E+04	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.123E+04	9.000E-01	1.000E-01	2.000E-06	0.000E+00
9.301E+03	9.000E-01	1.000E-01	2.000E-06	0.000E+00
7.705E+03	9.000E-01	1.000E-01	2.000E-06	0.000E+00
6.383E+03	9.000E-01	1.000E-01	2.000E-06	0.000E+00
5.288E+03	9.000E-01	1.000E-01	2.000E-06	0.000E+00
4.380E+03	9.000E-01	1.000E-01	2.000E-06	0.000E+00
3.629E+03	9.000E-01	1.000E-01	2.000E-06	0.000E+00
3.006E+03	9.000E-01	1.000E-01	2.000E-06	0.000E+00
2.490E+03	9.000E-01	1.000E-01	2.000E-06	0.000E+00
2.063E+03	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.709E+03	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.416E+03	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.173E+03	9.000E-01	1.000E-01	2.000E-06	0.000E+00
9.714E+02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
8.047E+02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
6.666E+02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
5.522E+02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
4.575E+02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
3.790E+02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
3.139E+02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
2.601E+02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
2.154E+02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.785E+02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.478E+02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.225E+02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.015E+02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
8.405E+01	9.000E-01	1.000E-01	2.000E-06	0.000E+00
6.962E+01	9.000E-01	1.000E-01	2.000E-06	0.000E+00
5.768E+01	9.000E-01	1.000E-01	2.000E-06	0.000E+00
4.778E+01	9.000E-01	1.000E-01	2.000E-06	0.000E+00
3.958E+01	9.000E-01	1.000E-01	2.000E-06	0.000E+00
3.279E+01	9.000E-01	1.000E-01	2.000E-06	0.000E+00
2.716E+01	9.000E-01	1.000E-01	2.000E-06	0.000E+00
2.250E+01	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.864E+01	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.544E+01	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.279E+01	9.000E-01	1.000E-01	2.000E-06	0.000E+00
