# (dyne/cm2)
Pressure	CO2	N2	CH4	H2O
2.000E+06	9.000E-01	9.916E-02	1.000E-05	1.000E-02
1.649E+06	9.000E-01	9.895E-02	1.000E-05	9.242E-03
1.359E+06	9.000E-01	9.986E-02	1.000E-05	8.483E-03
1.121E+06	9.000E-01	9.991E-02	1.000E-05	7.725E-03
9.239E+05	9.000E-01	9.993E-02	1.000E-05	6.967E-03
7.617E+05	9.000E-01	9.993E-02	1.000E-05	6.208E-03
6.280E+05	9.000E-01	9.993E-02	1.000E-05	5.450E-03
5.177E+05	9.000E-01	9.994E-02	1.000E-05	4.691E-03
4.268E+05	9.000E-01	9.993E-02	1.000E-05	3.933E-03
3.519E+05	9.000E-01	9.992E-02	1.000E-05	3.175E-03
2.901E+05	9.000E-01	9.991E-02	1.000E-05	2.416E-03
2.392E+05	9.000E-01	9.989E-02	1.000E-05	1.658E-03
1.972E+05	9.000E-01	9.987E-02	1.000E-05	8.995E-04
1.626E+05	9.000E-01	9.985E-02	1.000E-05	1.380E-04
1.340E+05	9.000E-01	9.999E-02	1.000E-05	0.000E+00
1.105E+05	9.000E-01	9.999E-02	1.000E-05	0.000E+00
9.109E+04	9.000E-01	9.999E-02	1.000E-05	0.000E+00
7.509E+04	9.000E-01	9.999E-02	1.000E-05	0.000E+00
6.191E+04	9.000E-01	9.999E-02	1.000E-05	0.000E+00
5.104E+04	9.000E-01	9.999E-02	1.000E-05	0.000E+00
4.208E+04	9.000E-01	9.999E-02	1.000E-05	0.000E+00
3.469E+04	9.000E-01	9.999E-02	1.000E-05	0.000E+00
2.860E+04	9.000E-01	9.999E-02	1.000E-05	0.000E+00
2.358E+04	9.000E-01	9.999E-02	1.000E-05	0.000E+00
1.944E+04	9.000E-01	9.999E-02	1.000E-05	0.000E+00
1.603E+04	9.000E-01	9.999E-02	1.000E-05	0.000E+00
1.321E+04	9.000E-01	9.999E-02	1.000E-05	0.000E+00
1.089E+04	9.000E-01	9.999E-02	1.000E-05	0.000E+00
8.980E+03	9.000E-01	9.999E-02	1.000E-05	0.000E+00
7.403E+03	9.000E-01	9.999E-02	1.000E-05	0.000E+00
6.103E+03	9.000E-01	9.999E-02	1.000E-05	0.000E+00
5.032E+03	9.000E-01	9.999E-02	1.000E-05	0.000E+00
4.148E+03	9.000E-01	9.999E-02	1.000E-05	0.000E+00
3.420E+03	9.000E-01	9.999E-02	1.000E-05	0.000E+00
2.820E+03	9.000E-01	9.999E-02	1.000E-05	0.000E+00
2.324E+03	9.000E-01	9.999E-02	1.000E-05	0.000E+00
1.916E+03	9.000E-01	9.999E-02	1.000E-05	0.000E+00
1.580E+03	9.000E-01	9.999E-02	1.000E-05	0.000E+00
1.302E+03	9.000E-01	9.999E-02	1.000E-05	0.000E+00
1.074E+03	9.000E-01	9.999E-02	1.000E-05	0.000E+00
8.853E+02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
7.298E+02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
6.017E+02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
4.961E+02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
4.090E+02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
3.372E+02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
2.780E+02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
2.292E+02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
1.889E+02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
1.558E+02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
1.284E+02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
