wavelength,photoabsorption,photodissociation,photoionisation
82.7,6.42E-18,0.00E+00,6.42E-18
82.8,6.60E-18,0.00E+00,6.60E-18
82.9,6.85E-18,0.00E+00,6.85E-18
83,7.09E-18,0.00E+00,7.09E-18
83.1,7.33E-18,0.00E+00,7.33E-18
83.2,7.64E-18,0.00E+00,7.64E-18
83.3,7.97E-18,0.00E+00,7.97E-18
83.4,8.30E-18,0.00E+00,8.30E-18
83.5,8.63E-18,0.00E+00,8.63E-18
83.6,8.96E-18,0.00E+00,8.96E-18
83.7,9.30E-18,0.00E+00,9.30E-18
83.8,9.74E-18,0.00E+00,9.74E-18
83.9,1.02E-17,0.00E+00,1.02E-17
84,1.06E-17,0.00E+00,1.06E-17
84.1,1.11E-17,0.00E+00,1.11E-17
84.2,1.15E-17,0.00E+00,1.15E-17
84.3,1.20E-17,0.00E+00,1.20E-17
84.4,1.26E-17,0.00E+00,1.26E-17
84.5,1.32E-17,0.00E+00,1.32E-17
84.6,1.38E-17,0.00E+00,1.38E-17
84.7,1.44E-17,0.00E+00,1.44E-17
84.8,1.50E-17,0.00E+00,1.50E-17
84.9,1.57E-17,0.00E+00,1.57E-17
85,1.65E-17,0.00E+00,1.65E-17
85.1,1.73E-17,0.00E+00,1.73E-17
85.2,1.80E-17,0.00E+00,1.80E-17
85.3,1.88E-17,0.00E+00,1.88E-17
85.4,1.96E-17,0.00E+00,1.96E-17
85.5,2.06E-17,0.00E+00,2.06E-17
85.6,2.15E-17,0.00E+00,2.15E-17
85.7,2.25E-17,0.00E+00,2.25E-17
85.8,2.34E-17,0.00E+00,2.34E-17
85.9,2.44E-17,0.00E+00,2.44E-17
86,2.55E-17,0.00E+00,2.55E-17
86.1,2.66E-17,0.00E+00,2.66E-17
86.2,2.77E-17,0.00E+00,2.77E-17
86.3,2.89E-17,0.00E+00,2.89E-17
86.4,3.00E-17,0.00E+00,3.00E-17
86.5,3.13E-17,0.00E+00,3.13E-17
86.6,3.26E-17,0.00E+00,3.26E-17
86.7,3.38E-17,0.00E+00,3.38E-17
86.8,3.51E-17,0.00E+00,3.51E-17
86.9,3.64E-17,0.00E+00,3.64E-17
87,3.78E-17,0.00E+00,3.78E-17
87.1,3.93E-17,0.00E+00,3.93E-17
87.2,4.07E-17,0.00E+00,4.07E-17
87.3,4.21E-17,6.69E-18,3.54E-17
87.4,4.36E-17,4.36E-17,0.00E+00
87.5,4.51E-17,4.51E-17,0.00E+00
87.6,4.67E-17,4.67E-17,0.00E+00
87.7,4.82E-17,4.82E-17,0.00E+00
87.8,4.98E-17,4.98E-17,0.00E+00
87.9,5.14E-17,5.14E-17,0.00E+00
88,5.30E-17,5.30E-17,0.00E+00
88.1,5.46E-17,5.46E-17,0.00E+00
88.2,5.63E-17,5.63E-17,0.00E+00
88.3,5.80E-17,5.80E-17,0.00E+00
88.4,5.96E-17,5.96E-17,0.00E+00
88.5,6.13E-17,6.13E-17,0.00E+00
88.6,6.29E-17,6.29E-17,0.00E+00
88.7,6.46E-17,6.46E-17,0.00E+00
88.8,6.63E-17,6.63E-17,0.00E+00
88.9,6.80E-17,6.80E-17,0.00E+00
89,6.96E-17,6.96E-17,0.00E+00
89.1,7.13E-17,7.13E-17,0.00E+00
89.2,7.29E-17,7.29E-17,0.00E+00
89.3,7.45E-17,7.45E-17,0.00E+00
89.4,7.61E-17,7.61E-17,0.00E+00
89.5,7.76E-17,7.76E-17,0.00E+00
89.6,7.92E-17,7.92E-17,0.00E+00
89.7,8.07E-17,8.07E-17,0.00E+00
89.8,8.20E-17,8.20E-17,0.00E+00
89.9,8.34E-17,8.34E-17,0.00E+00
90,8.48E-17,8.48E-17,0.00E+00
90.1,8.61E-17,8.61E-17,0.00E+00
90.2,8.72E-17,8.72E-17,0.00E+00
90.3,8.83E-17,8.83E-17,0.00E+00
90.4,8.94E-17,8.94E-17,0.00E+00
90.5,9.05E-17,9.05E-17,0.00E+00
90.6,9.13E-17,9.13E-17,0.00E+00
90.7,9.21E-17,9.21E-17,0.00E+00
90.8,9.29E-17,9.29E-17,0.00E+00
90.9,9.36E-17,9.36E-17,0.00E+00
91,9.40E-17,9.40E-17,0.00E+00
91.1,9.45E-17,9.45E-17,0.00E+00
91.2,9.49E-17,9.49E-17,0.00E+00
91.3,9.52E-17,9.52E-17,0.00E+00
