wavelength,photoabsorption,photodissociation,photoionisation
75,9.51E-18,0.00E+00,9.51E-18
75.01,9.51E-18,0.00E+00,9.51E-18
75.02,9.51E-18,0.00E+00,9.51E-18
75.03,9.51E-18,0.00E+00,9.51E-18
75.04,9.51E-18,0.00E+00,9.51E-18
75.05,9.51E-18,0.00E+00,9.51E-18
75.06,9.51E-18,0.00E+00,9.51E-18
75.07,9.51E-18,0.00E+00,9.51E-18
75.08,9.51E-18,0.00E+00,9.51E-18
75.09,9.51E-18,0.00E+00,9.51E-18
75.1,9.51E-18,0.00E+00,9.51E-18
75.11,9.51E-18,0.00E+00,9.51E-18
75.12,9.51E-18,0.00E+00,9.51E-18
75.13,9.51E-18,0.00E+00,9.51E-18
75.14,9.51E-18,0.00E+00,9.51E-18
75.15,9.51E-18,0.00E+00,9.51E-18
75.16,9.51E-18,0.00E+00,9.51E-18
75.17,9.51E-18,0.00E+00,9.51E-18
75.18,9.51E-18,0.00E+00,9.51E-18
75.19,9.51E-18,0.00E+00,9.51E-18
75.2,9.51E-18,0.00E+00,9.51E-18
75.21,9.51E-18,0.00E+00,9.51E-18
75.22,9.51E-18,0.00E+00,9.51E-18
75.23,9.51E-18,0.00E+00,9.51E-18
75.24,9.51E-18,0.00E+00,9.51E-18
75.25,9.51E-18,0.00E+00,9.51E-18
75.26,9.51E-18,0.00E+00,9.51E-18
75.27,9.51E-18,0.00E+00,9.51E-18
75.28,9.51E-18,0.00E+00,9.51E-18
75.29,9.51E-18,0.00E+00,9.51E-18
75.3,9.51E-18,0.00E+00,9.51E-18
75.31,9.51E-18,0.00E+00,9.51E-18
75.32,9.51E-18,0.00E+00,9.51E-18
75.33,9.51E-18,0.00E+00,9.51E-18
75.34,9.51E-18,0.00E+00,9.51E-18
75.35,9.51E-18,0.00E+00,9.51E-18
75.36,9.51E-18,0.00E+00,9.51E-18
75.37,9.51E-18,0.00E+00,9.51E-18
75.38,9.51E-18,0.00E+00,9.51E-18
75.39,9.51E-18,0.00E+00,9.51E-18
75.4,9.51E-18,0.00E+00,9.51E-18
75.41,9.51E-18,0.00E+00,9.51E-18
75.42,9.51E-18,0.00E+00,9.51E-18
75.43,9.51E-18,0.00E+00,9.51E-18
75.44,9.51E-18,0.00E+00,9.51E-18
75.45,9.51E-18,0.00E+00,9.51E-18
75.46,9.51E-18,0.00E+00,9.51E-18
75.47,9.51E-18,0.00E+00,9.51E-18
75.48,9.51E-18,0.00E+00,9.51E-18
75.49,9.51E-18,0.00E+00,9.51E-18
75.5,9.51E-18,0.00E+00,9.51E-18
75.51,9.51E-18,0.00E+00,9.51E-18
75.52,9.51E-18,0.00E+00,9.51E-18
75.53,9.51E-18,0.00E+00,9.51E-18
75.54,9.51E-18,0.00E+00,9.51E-18
75.55,9.51E-18,0.00E+00,9.51E-18
75.56,9.51E-18,0.00E+00,9.51E-18
75.57,9.51E-18,0.00E+00,9.51E-18
75.58,9.51E-18,0.00E+00,9.51E-18
75.59,9.51E-18,0.00E+00,9.51E-18
75.6,9.51E-18,0.00E+00,9.51E-18
75.61,9.51E-18,0.00E+00,9.51E-18
75.62,9.51E-18,0.00E+00,9.51E-18
75.63,9.51E-18,0.00E+00,9.51E-18
75.64,9.51E-18,0.00E+00,9.51E-18
75.65,9.51E-18,0.00E+00,9.51E-18
75.66,9.51E-18,0.00E+00,9.51E-18
75.67,9.51E-18,0.00E+00,9.51E-18
75.68,9.51E-18,0.00E+00,9.51E-18
75.69,9.51E-18,0.00E+00,9.51E-18
75.7,9.51E-18,0.00E+00,9.51E-18
75.71,9.51E-18,0.00E+00,9.51E-18
75.72,9.51E-18,0.00E+00,9.51E-18
75.73,9.51E-18,0.00E+00,9.51E-18
75.74,9.51E-18,0.00E+00,9.51E-18
75.75,9.51E-18,0.00E+00,9.51E-18
75.76,9.51E-18,0.00E+00,9.51E-18
75.77,9.51E-18,0.00E+00,9.51E-18
75.78,9.51E-18,0.00E+00,9.51E-18
75.79,9.51E-18,0.00E+00,9.51E-18
75.8,9.51E-18,0.00E+00,9.51E-18
75.81,9.51E-18,0.00E+00,9.51E-18
75.82,9.51E-18,0.00E+00,9.51E-18
75.83,9.51E-18,0.00E+00,9.51E-18
75.84,9.51E-18,0.00E+00,9.51E-18
75.85,9.51E-18,0.00E+00,9.51E-18
75.86,9.51E-18,0.00E+00,9.51E-18
75.87,9.51E-18,0.00E+00,9.51E-18
75.88,9.51E-18,0.00E+00,9.51E-18
75.89,9.51E-18,0.00E+00,9.51E-18
75.9,9.51E-18,0.00E+00,9.51E-18
75.91,9.51E-18,0.00E+00,9.51E-18
75.92,9.51E-18,0.00E+00,9.51E-18
75.93,9.51E-18,0.00E+00,9.51E-18
75.94,9.51E-18,0.00E+00,9.51E-18
75.95,9.51E-18,0.00E+00,9.51E-18
75.96,9.51E-18,0.00E+00,9.51E-18
75.97,9.51E-18,0.00E+00,9.51E-18
75.98,9.51E-18,0.00E+00,9.51E-18
75.99,9.51E-18,0.00E+00,9.51E-18
76,9.51E-18,0.00E+00,9.51E-18
76.01,9.51E-18,0.00E+00,9.51E-18
76.02,9.51E-18,0.00E+00,9.51E-18
76.03,9.51E-18,0.00E+00,9.51E-18
76.04,9.51E-18,0.00E+00,9.51E-18
76.05,9.51E-18,0.00E+00,9.51E-18
